PERMNO,NAMEDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,BEGEXCHDATE,ENDEXCHDATE
10661,2006-11-06,11,3,2833,23243730,CYAN,CYANOTECH CORP,1986-09-15,2023-12-29
10667,2006-08-25,11,3,3714,35952W10,FSYS,FUEL SYSTEMS SOLUTIONS INC,1986-09-16,2016-06-01
10693,2018-01-02,11,1,8069,29261A10,EHC,ENCOMPASS HEALTH CORP,1986-09-24,2023-12-29
10696,1986-09-25,11,3,7370,33773810,FISV,FISERV INC,1986-09-25,2023-12-29
10769,2001-08-24,11,3,6022,15241810,CEBK,CENTRAL BANCORP INC,1986-10-20,2012-11-09
10772,2011-03-01,11,2,5045,78410920,SED,S E D INTERNATIONAL HOLDINGS INC,1986-10-21,2013-11-13
10777,1999-07-01,11,3,6020,31946M10,FCNCA,FIRST CITIZENS BANCSHARES INC NC,1986-10-22,2023-12-29
10779,2019-03-29,11,2,3663,05587G10,BKTI,B K TECHNOLOGIES CORP,1978-10-03,2023-12-29
10781,1995-04-17,11,3,6020,06506610,BKSC,BANK SOUTH CAROLINA CORP,1986-10-23,2023-09-14
10785,1995-07-06,11,3,3676,13043910,CAMD,CALIFORNIA MICRO DEVICES CORP,1986-10-24,2010-01-27
10812,1986-11-05,11,3,4210,42234710,HTLD,HEARTLAND EXPRESS INC,1986-11-05,2023-12-29
10822,2009-06-08,11,2,6351,36312730,GAN,GAINSCO INC,1986-11-06,2011-01-27
10825,2000-04-24,11,3,6022,83784110,TSFG,SOUTH FINL GROUP INC,1986-11-06,2010-09-30
10838,2017-11-01,11,3,2836,23282860,CYTR,CYTRX CORP,1986-11-10,2019-06-03
10853,2000-08-01,11,3,7822,76017410,RENT,RENTRAK CORP,1986-11-14,2016-01-29
10860,2000-10-02,11,3,2835,68554V10,OSUR,ORASURE TECHNOLOGIES INC,1986-11-17,2023-12-29
10866,2015-05-29,11,1,5661,12950010,CAL,CALERES INC,1925-12-31,2023-12-29
10874,2019-06-26,11,1,3519,11704310,BC,BRUNSWICK CORP,1925-12-31,2023-12-29
10886,2001-03-01,11,3,2273,25551910,DXYN,DIXIE GROUP INC,1986-11-25,2023-12-29
10890,2014-01-10,11,1,7373,90921430,UIS,UNISYS CORP,1925-12-31,2023-12-29
10892,1999-07-01,11,3,6020,92932810,WSFS,WSFS FINANCIAL CORP,1986-11-26,2023-12-29
10901,1987-07-07,11,3,6360,46180410,ITIC,INVESTORS TITLE CO,1986-12-03,2023-12-29
10909,2000-08-01,11,3,7373,15678210,CERN,CERNER CORP,1986-12-05,2022-06-07
10913,1999-07-01,11,3,6020,30956210,FFKT,FARMERS CAPITAL BANK CORP,1986-12-05,2018-08-20
10932,2008-12-16,11,1,6021,94789010,WBS,WEBSTER FINANCIAL CORP,1986-12-12,2023-12-29
10933,1997-06-11,11,1,6331,57053510,MKL,MARKEL CORP,1986-12-12,2023-12-29
10942,2011-09-23,11,3,3661,20586240,CMVT,COMVERSE TECHNOLOGY INC,1986-12-15,2013-02-04
10952,2020-11-27,18,1,6798,15060260,CDR,CEDAR REALTY TRUST INC,1986-12-17,2022-08-22
10966,2013-08-09,11,3,3845,05463X10,AXGN,AXOGEN INC,1986-12-17,2023-12-29
11003,2015-02-03,71,1,4922,96949L10,WPZ,WILLIAMS PARTNERS LP NEW,2010-07-29,2018-08-10
11006,1999-07-01,11,3,6020,32073410,FLIC,FIRST LONG ISLAND CORP,1987-01-08,2023-12-29
11018,2011-01-07,11,1,6022,31867270,FBP,FIRST BANCORP P R,1987-01-13,2023-12-29
11038,2009-04-24,11,3,3575,64120810,NWK,NETWORK EQUIPMENT TECHNOLOGIES,1987-01-23,2012-08-24
11043,2008-09-23,11,3,8071,74437520,PMD,PSYCHEMEDICS CORP,1987-01-22,2023-12-29
11048,2007-12-21,11,3,4930,29406L20,EPG,ENVIRONMENTAL POWER CORP,1987-01-27,2010-04-23
11056,2010-11-19,11,3,6036,85931930,STSA,STERLING FINANCIAL CORP WASH,1987-02-02,2014-04-17
11061,2013-08-20,73,4,6726,25459Y32,GASX,DIREXION SHARES E T F TRUST,2010-07-14,2014-09-23
11077,1999-03-15,12,3,3674,N0704510,ASMI,A S M INTERNATIONAL N V,1981-05-12,2015-08-20
11081,2003-07-22,11,3,3570,24702R10,DELL,DELL INC,1988-06-22,2013-10-29
11131,1999-07-01,11,3,6030,02361310,ASBI,AMERIANA BANCORP,1987-02-25,2015-12-31
11132,2002-05-01,11,3,5120,87162G10,SYNO,SYNOVIS LIFE TECHNOLOGIES INC,1987-02-25,2012-02-14
11137,1987-02-26,11,3,5130,70164510,PARL,PARLUX FRAGRANCES INC,1987-02-26,2012-04-18
11144,2019-09-09,11,1,2879,03037110,AVD,AMERICAN VANGUARD CORP,1987-03-02,2023-12-29
11153,2021-08-27,11,3,3620,83548310,SOTK,SONO TEK CORP,1987-03-06,2023-12-29
11154,1990-04-19,11,3,3670,71940510,PLAB,PHOTRONICS INC,1987-03-10,2023-12-29
11157,2003-11-25,11,2,3812,00801530,AIM,AEROSONIC CORP DEL,1972-12-14,2013-06-10
11161,2003-06-10,11,2,5712,47615310,JEN,JENNIFER CONVERTIBLES INC,1987-03-11,2010-03-05
11162,1996-09-30,11,3,4510,59047910,MESA,MESA AIR GROUP INC NEV,1987-03-11,2010-01-13
11174,2002-04-01,11,3,4840,03062T10,CRMT,AMERICAS CAR MART INC,1987-03-13,2023-12-29
11182,2020-03-24,73,4,6726,25460E29,GASL,DIREXION SHARES E T F TRUST,2010-07-14,2020-03-27
11196,2010-07-14,73,4,6726,25459W39,RETS,DIREXION SHARES E T F TRUST,2010-07-14,2012-09-05
11203,2020-07-10,12,1,6719,G0464B10,ARGO,ARGO GROUP INTL HLDGS LTD,1987-03-25,2023-11-15
11208,2013-04-26,11,1,6022,67103X10,OFG,O F G BANCORP,1987-03-26,2023-12-29
11246,2004-04-01,11,3,6159,13022210,CFNB,CALIFORNIA FIRST NATIONAL BANCOR,1987-04-08,2017-11-10
11264,2020-04-23,73,4,6726,25460G81,RETL,DIREXION SHARES E T F TRUST,2010-07-14,2023-12-29
11267,2009-10-16,11,1,5621,14920510,CATO,CATO CORP NEW,1987-04-22,2023-12-29
11275,2022-07-05,11,3,3840,75991010,KRMD,KORU MEDICAL SYSTEMS INC,1987-04-27,2023-12-29
11285,1999-07-01,11,3,6020,31891010,FBNC,FIRST BANCORP NC,1987-04-30,2023-12-29
11292,1990-07-24,11,3,2830,45252530,ICCC,IMMUCELL CORP,1987-05-01,2023-12-29
11293,1999-07-01,11,3,6020,95081010,WSBC,WESBANCO INC,1987-05-04,2023-12-29
11308,2001-02-01,11,1,2086,19121610,KO,COCA COLA CO,1925-12-31,2023-12-29
11343,2000-08-01,11,3,2015,80001310,SAFM,SANDERSON FARMS INC,1987-05-19,2022-07-21
11348,1999-07-01,11,3,6020,15643210,CNBKA,CENTURY BANCORP INC,1987-05-20,2021-11-12
11361,2010-07-01,71,1,1311,26827L10,ECT,E C A MARCELLUS TRUST I,2010-07-01,2020-07-30
11363,2016-10-19,73,4,6726,19762B88,SCIN,COLUMBIA E T F TRUST II,2010-07-07,2019-06-14
11368,1999-09-30,11,3,4510,00920710,AIRT,AIR T INC,1984-04-23,2023-12-29
11369,1999-07-01,11,3,6020,90990710,UBSI,UNITED BANKSHARES INC,1987-05-29,2023-12-29
11370,2021-03-29,11,1,7389,29404K10,ENV,ENVESTNET INC,2010-07-29,2023-12-29
11378,2006-06-30,11,1,2813,12960310,CCC,CALGON CARBON CORP,1987-06-02,2018-03-08
11379,2021-09-08,11,3,5650,25065K10,DXLG,DESTINATION X L GROUP INC,1987-06-02,2023-12-29
11382,2011-06-13,11,1,5311,79377W10,SKS,SAKS INC,1987-06-03,2013-11-04
11393,2011-03-30,11,3,3081,84490920,SWTX,SOUTHWALL TECHNOLOGIES INC,1987-06-05,2011-11-28
11394,2022-12-22,11,3,3580,88362L20,THMO,THERMOGENESIS HOLDINGS INC,1987-06-05,2023-12-29
11397,1999-07-01,11,3,6020,94061010,WASH,WASHINGTON TRUST BANCORP INC,1987-06-08,2023-12-29
11402,2011-06-10,11,2,5945,26198320,DRJ,DREAMS INC,1987-06-10,2012-06-06
11403,2005-10-31,11,3,7372,12738710,CDNS,CADENCE DESIGN SYSTEMS INC,1987-06-10,2023-12-29
11404,2021-03-29,11,1,4931,20911510,ED,CONSOLIDATED EDISON INC,1925-12-31,2023-12-29
11406,2001-02-01,11,1,6351,12612L10,SUR,C N A SURETY CORP,1987-06-11,2011-06-10
11407,2015-11-18,73,4,6726,37954Y85,LIT,GLOBAL X FUNDS,2010-07-23,2023-12-29
11426,2004-06-01,11,3,3661,98390910,XETA,XETA TECHNOLOGIES INC,1987-06-17,2011-05-31
11441,2015-03-03,11,3,6211,63637520,NHLD,NATIONAL HOLDINGS CORP,1987-06-23,2021-02-25
11442,1999-07-01,11,3,6020,17783510,CHCO,CITY HOLDING CO,1987-06-23,2023-12-29
11456,2010-08-27,11,3,3572,01161270,ALAN,ALANCO TECHNOLOGIES INC,1982-05-14,2011-07-25
11478,1989-06-29,11,1,1311,08578910,BRY,BERRY PETROLEUM CO,1987-07-01,2013-12-16
11481,2004-01-22,11,3,7373,27871520,EBIX,EBIX INC,1987-07-01,2023-12-27
11499,2022-11-07,11,3,3564,12514110,CECO,C E C O ENVIRONMENTAL CORP,1980-10-01,2023-12-29
11505,2010-07-29,73,4,6726,37950E83,BRAF,GLOBAL X FUNDS,2010-07-29,2015-10-08
11506,1999-07-01,11,3,6030,31583110,FSBI,FIDELITY BANCORP INC,1988-06-24,2012-11-30
11510,1995-05-17,11,3,5812,08204720,BNHNA,BENIHANA INC,1987-07-15,2011-11-29
11511,2015-01-15,11,3,3260,12619F10,CPSH,C P S TECHNOLOGIES CORP,1987-07-15,2023-12-29
11513,2004-06-01,11,3,6030,32022D10,FFKY,FIRST FINANCIAL SERVICE CORP,1987-07-15,2014-12-31
11533,2021-03-31,11,1,7389,30325010,FICO,FAIR ISAAC CORP,1987-07-22,2023-12-29
11547,2021-03-29,11,1,3845,20741010,CNMD,CONMED CORP,1987-07-23,2023-12-29
11552,1989-09-01,11,3,2890,15102010,CELG,CELGENE CORP,1987-07-28,2019-11-20
11565,2018-05-08,11,3,6021,44040710,HBNC,HORIZON BANCORP INC,1987-08-03,2023-12-29
11581,2020-01-29,11,1,3559,29276510,EPAC,ENERPAC TOOL GROUP CORP,1987-08-05,2023-12-29
11587,1996-05-07,11,3,4920,04990410,ATRI,ATRION CORP,1972-12-14,2023-12-29
11593,2005-06-08,11,3,6162,81478530,SNFCA,SECURITY NATIONAL FINANCIAL CORP,1987-08-12,2023-12-29
11599,2006-06-30,11,1,4213,02341W10,ACO,AMCOL INTERNATIONAL CORP,1987-08-12,2014-05-09
11600,2016-03-01,11,3,3840,24906P10,XRAY,DENTSPLY SIRONA INC,1987-08-12,2023-12-29
11618,1999-07-01,11,3,5200,31190010,FAST,FASTENAL CO,1987-08-20,2023-12-29
11628,2021-03-29,11,1,6712,15476040,CPF,CENTRAL PACIFIC FINANCIAL CORP,1987-08-24,2023-12-29
11636,2014-01-23,11,3,2821,42774610,HRTX,HERON THERAPEUTICS INC,1987-08-26,2023-12-29
11638,1987-08-27,11,3,2790,62538310,LABL,MULTI COLOR CORP,1987-08-27,2019-07-01
11641,1999-07-01,11,3,4520,00912830,AIRM,AIR METHODS CORP,1987-08-27,2017-04-20
11644,2020-11-18,11,1,1311,20576830,CRK,COMSTOCK RESOURCES INC,1987-08-28,2023-12-29
11648,2010-07-08,73,4,6726,37950E84,BRAQ,GLOBAL X FUNDS,2010-07-08,2017-10-06
11652,2006-09-01,11,3,6036,41286510,HARL,HARLEYSVILLE SAVINGS FINAN CORP,1987-09-01,2012-12-26
11654,2007-02-02,11,3,2833,63884230,NAII,NATURAL ALTERNATIVES INTL INC,1987-09-01,2023-12-29
11664,2021-04-06,11,1,6141,39304D10,GDOT,GREEN DOT CORP,2010-07-22,2023-12-29
11674,1996-01-02,11,1,4911,23333110,DTE,D T E ENERGY CO,1925-12-31,2023-12-29
11691,2017-12-26,11,1,4731,57686G10,MATX,MATSON INC,1972-12-14,2023-12-29
11701,1987-09-22,11,3,5410,45703010,IMKTA,INGLES MARKETS INC,1987-09-22,2023-12-29
11703,2014-01-29,11,1,2879,26353410,DD,DU PONT E I DE NEMOURS & CO,1925-12-31,2017-08-31
11707,2011-06-10,11,1,2834,13201110,CBM,CAMBREX CORP,1987-09-22,2019-12-03
11731,1988-09-30,11,1,2221,01234810,AIN,ALBANY INTERNATIONAL CORP NEW,1987-09-30,2023-12-29
11748,2001-04-20,11,3,6331,25770130,DGICB,DONEGAL GROUP INC,1986-10-29,2023-12-29
11750,1999-07-01,11,3,6020,78008110,RBPAA,ROYAL BANCSHARES PA INC,1987-09-04,2017-12-14
11752,2022-09-08,11,3,3820,19247G10,COHR,COHERENT CORP,1987-10-02,2023-12-29
11754,1968-01-02,11,1,3861,27746110,EK,EASTMAN KODAK CO,1925-12-31,2012-01-18
11762,2022-06-08,12,1,8742,G2918310,ETN,EATON CORP PLC,1925-12-31,2023-12-29
11775,2000-03-01,11,3,3940,47916710,JOUT,JOHNSON OUTDOORS INC,1987-10-09,2023-12-29
11781,2008-04-21,11,3,7372,8867EQ10,TIGR,TIGERLOGIC CORP,1987-10-16,2015-10-09
11786,2005-05-31,11,3,6020,78486Q10,SIVB,S V B FINANCIAL GROUP,1987-10-23,2023-03-10
11790,1974-01-14,11,3,170,01623010,ALCO,ALICO INC,1972-12-14,2023-12-29
11803,2011-07-14,11,3,7372,60671020,MITK,MITEK SYSTEMS INC,1987-11-16,2023-12-29
11809,2008-12-15,11,1,4953,18449610,CLH,CLEAN HARBORS INC,1987-11-24,2023-12-29
11814,2010-07-16,73,4,6726,46428954,AXUT,ISHARES TRUST,2010-07-16,2014-03-25
11825,1994-06-01,11,3,3820,23251710,CYBE,CYBEROPTICS CORP,1987-12-17,2022-11-03
11839,2007-02-16,11,3,6022,57832110,MFLR,MAYFLOWER BANCORP INC,1987-12-23,2013-11-15
11844,1999-07-01,11,3,6020,20414910,CTBI,COMMUNITY TRUST BANCORP INC,1987-12-29,2023-12-29
11845,2017-11-28,31,1,7311,92937A10,WPP,W P P PLC NEW,1987-12-29,2023-12-29
11847,1999-07-01,11,3,6030,32027210,FFHS,FIRST FRANKLIN CORP,1988-01-26,2011-03-16
11850,2019-09-11,11,1,2911,30231G10,XOM,EXXON MOBIL CORP,1925-12-31,2023-12-29
11866,2008-05-02,11,3,6035,45467410,INCB,INDIANA COMMUNITY BANCORP,1988-01-14,2012-09-14
11873,2000-08-01,11,3,7822,45243920,DISK,IMAGE ENTERTAINMENT INC,1988-02-08,2010-02-02
11884,1999-07-14,11,3,5120,45833410,IPAR,INTERMEDIATE PARFUMS INC,1988-02-04,2023-12-29
11891,2021-03-31,11,1,7011,55295310,MGM,M G M RESORTS INTERNATIONAL,1988-05-02,2023-12-29
11896,2008-10-08,11,3,3674,57772K10,MXIM,MAXIM INTEGRATED PRODUCTS INC,1988-02-29,2021-08-25
11903,2002-12-05,11,3,3670,59512510,NOIZ,MICRONETICS INC,1988-04-15,2012-08-08
11908,2008-08-26,11,3,3663,26831510,EDCI,E D C I HOLDINGS INC,1988-03-17,2010-11-03
11910,2002-05-22,11,3,7363,87831110,TEAM,TECHTEAM GLOBAL INC,1988-01-12,2010-12-13
11917,2000-08-01,11,3,7372,71915310,PTEC,PHOENIX TECHNOLOGIES LTD,1988-06-14,2010-11-22
11923,2003-01-02,11,2,3483,01911810,ADG,ALLIED DEFENSE GROUP INC,1984-04-09,2010-09-17
11955,2009-08-05,11,1,4953,94106L10,WM,WASTE MANAGEMENT INC DEL,1988-06-03,2023-12-29
11969,2010-07-16,73,4,6726,46428955,AXHE,ISHARES TRUST,2010-07-16,2014-03-25
11972,2010-07-16,73,4,6726,46428956,AXTE,ISHARES TRUST,2010-07-16,2014-03-25
11976,2009-10-26,11,3,7372,05592110,BMC,B M C SOFTWARE INC,1988-08-12,2013-09-10
11979,2010-07-16,73,4,6726,46428957,AXMT,ISHARES TRUST,2010-07-16,2014-03-25
11980,2010-07-16,73,4,6726,46428958,AXIT,ISHARES TRUST,2010-07-16,2014-03-25
11984,2010-07-16,73,4,6726,46428959,AXEN,ISHARES TRUST,2010-07-16,2014-03-25
11986,2010-07-16,73,4,6726,46428961,AXID,ISHARES TRUST,2010-07-16,2014-03-25
11988,2010-07-16,73,4,6726,46428962,AXSL,ISHARES TRUST,2010-07-16,2014-03-25
11989,2010-07-16,73,4,6726,46428963,AXDI,ISHARES TRUST,2010-07-16,2014-03-25
11990,2021-03-24,11,1,5611,48251W10,KKR,K K R & CO INC,2010-07-15,2023-12-29
11992,2019-08-01,11,3,6020,87230710,TCF,T C F FINANCIAL CORP NEW,1988-08-02,2021-06-08
11993,2010-07-22,11,2,5171,54335410,LPH,LONGWEI PETROLEUM INVT HLDG LTD,2010-07-22,2013-01-03
11995,2019-01-02,11,3,2086,19109810,COKE,COCA COLA CONSOLIDATED INC,1982-11-01,2023-12-29
11996,2021-09-01,73,4,6726,92189H30,EMLC,VANECK E T F TRUST,2010-07-23,2023-12-29
11999,2010-07-29,11,1,1099,60875310,MCP,MOLYCORP INC DE,2010-07-29,2015-06-24
12007,2015-01-02,71,1,1221,96108P10,WMLP,WESTMORELAND RESOURCE PTNRS LP,2010-07-14,2018-10-08
12008,2019-05-06,11,1,1623,26747510,DY,DYCOM INDUSTRIES INC,1984-05-31,2023-12-29
12009,2010-07-06,11,1,2752,74730110,QUAD,QUAD GRAPHICS INC,2010-07-06,2023-12-29
12011,2010-07-16,11,1,3663,75604L10,RLD,REALD INC,2010-07-16,2016-03-22
12014,2011-06-13,11,2,2834,16890Y10,CBP,CHINA BOTANIC PHARMACEUTICAL INC,2010-07-02,2013-01-30
12015,2020-05-01,14,1,6799,89148B20,NTG,TORTOISE MIDSTREAM ENERGY FD INC,2010-07-28,2023-12-29
12017,2022-10-25,11,3,4899,98420U70,XWEL,XWELL INC,2010-07-27,2023-12-29
12018,2017-08-29,12,3,9999,G5497120,LINU,LINIU TECHNOLOGY GROUP,2010-07-02,2018-05-11
12021,2010-07-01,31,3,9999,05330F10,AMAP,AUTONAVI HOLDINGS LTD,2010-07-01,2014-07-17
12023,2019-04-12,12,3,9999,G1288E10,BIQI,B I Q I INTERNATIONAL HLDNGS COR,2010-07-20,2019-07-09
12025,2010-07-07,11,3,9999,71103710,PEOP,PEOPLES FEDERAL BANCSHARES INC,2010-07-07,2015-02-20
